公司名称,公司地址,薪资水平,职位信息
福州龙腾简合网络技术有限公司 ,福州,15000-30000元/月,算法工程师
深圳市雷赛控制技术有限公司 ,深圳,20001-30000元/月,算法工程师
大唐移动通信设备有限公司,北京,面议,系统工程师
深圳市腾讯计算机系统有限公司 ,深圳,面议,其他
北京理工大学智能机器人与系统高精尖创新中心,北京,10001-15000元/月,算法工程师
北京广而告之网讯传媒有限公司 ,北京,20000-40000元/月,算法工程师
科大讯飞股份有限公司,合肥,15001-20000元/月,算法工程师
北京字节跳动科技有限公司 ,北京,25000-40000元/月,脚本开发工程师
美团点评,北京,面议,算法工程师
Michael Page ,深圳,面议,IT技术支持/维护工程师
广州中软职业技能培训有限公司西安分公司,西安,4001-6000元/月,算法工程师
深圳开立生物医疗科技股份有限公司 ,深圳,10000-20000元/月,算法工程师
比亚迪股份有限公司 ,北京,18000-35000元/月,算法工程师
青岛小优智能科技有限公司 ,青岛,6000-12000元/月,算法工程师
北京修齐治平科技有限公司 ,广州,12000-18000元/月,语音/视频/图形开发
上海开奈电子通讯有限公司 ,北京,10001-15000元/月,算法工程师
航天恒星科技有限公司 ,西安,8000-15000元/月,通信技术工程师
九阳股份有限公司 ,杭州,面议,算法工程师
阿里巴巴集团 ,杭州,面议,其他
贝壳找房 ,北京,20001-30000元/月,算法工程师
广州慧睿思通信息科技有限公司 ,广州,12500-25000元/月,算法工程师
上海汇纳信息科技股份有限公司 ,广州,8001-10000元/月,互联网产品经理/主管
北京唯迈医疗设备有限公司 ,北京,14000-22000元/月,算法工程师
猎聘网 ,北京,20001-30000元/月,算法工程师
贝壳找房 ,北京,15001-20000元/月,算法工程师
北京四维图新科技股份有限公司,北京,20001-30000元/月,软件工程师
北京合享智慧科技有限公司 ,北京,20000-40000元/月,算法工程师
蓝思科技股份有限公司,长沙,8000-15000元/月,算法工程师
成都品联能科技有限公司,杭州,6000-10000元/月,算法工程师
北京筑龙信息技术有限责任公司 ,深圳,15001-20000元/月,算法工程师
杭州夏诺科技有限公司 ,杭州,10001-15000元/月,软件工程师
深圳尚睿达信息技术有限公司 ,深圳,8001-10000元/月,算法工程师
北京居然之家投资控股集团有限公司,上海,25000-40000元/月,高级软件工程师
维谛技术有限公司,西安,面议,算法工程师
北京嘉楠捷思信息技术有限公司 ,北京,15001-20000元/月,算法工程师
软通动力信息技术(集团)有限公司,深圳,15000-20000元/月,算法工程师
世纪畅链有限责任公司 ,上海,10001-15000元/月,算法工程师
深圳市爱都科技有限公司 ,深圳,20000-40000元/月,算法工程师
开普云 ,北京,15000-30000元/月,算法工程师
上海沃迪智能装备股份有限公司 ,上海,18000-30000元/月,算法工程师
北京百悟科技有限公司,北京,20000-35000元/月,算法工程师
上海腾道信息技术有限公司 ,上海,15001-20000元/月,算法工程师
北京立思辰科技股份有限公司,北京,16000-25000元/月,算法工程师
阿里巴巴集团 ,杭州,面议,其他
上海直真君智科技有限公司 ,上海,13000-25000元/月,算法工程师
深圳尚睿达信息技术有限公司 ,深圳,10001-15000元/月,高级硬件工程师
安凯(广州)微电子技术有限公司 ,广州,15000-20000元/月,通信研发工程师
深圳市赛亿科技开发有限公司 ,深圳,8000-16000元/月,算法工程师
北京智慧眼科技股份有限公司湖南分公司 ,北京,20001-30000元/月,算法工程师
北京多维视通技术有限公司 ,北京,10000-20000元/月,高级软件工程师
北京国承万通信息科技有限公司 ,北京,20000-40000元/月,算法工程师
北京四维图新科技股份有限公司,北京,15000-30000元/月,算法工程师
北京经纬恒润科技有限公司海淀分公司 ,北京,15001-20000元/月,算法工程师
中科院(合肥)技术创新工程院有限公司,合肥,6000-8000元/月,算法工程师
博雅工道(北京)机器人科技有限公司 ,北京,15000-25000元/月,算法工程师
同方股份有限公司,北京,20001-30000元/月,算法工程师
京东金融 ,北京,面议,软件研发工程师
南京江北新区产业技术研创园企业专场招聘会 ,南京,8001-10000元/月,算法工程师
阿里巴巴集团 ,杭州,面议,其他
北京中安鼎辉科技有限公司 ,北京,10000-20000元/月,算法工程师
北京国承万通信息科技有限公司 ,北京,4000-6000元/月,实习生
北京捷通华声科技股份有限公司,北京,20000-40000元/月,算法工程师
深圳市腾讯计算机系统有限公司 ,深圳,面议,其他
京东方科技集团,北京,15001-20000元/月,算法工程师
重庆卓睿信息技术有限公司西安分公司,西安,4001-6000元/月,软件工程师
北京欣奕华科技有限公司 ,北京,30001-50000元/月,算法工程师
北京经纬恒润科技有限公司海淀分公司 ,北京,8000-16000元/月,算法工程师
北京达佳互联信息技术有限公司 ,北京,25000-50000元/月,算法工程师
北京捷通华声科技股份有限公司,北京,20000-40000元/月,算法工程师
南京力众企业管理咨询有限公司 ,南京,15001-20000元/月,算法工程师
福州朴朴电子商务有限公司,福州,12000-20000元/月,算法工程师
深圳奥比中光科技有限公司 ,西安,15000-30000元/月,算法工程师
河南汇之诚电子科技有限公司 ,郑州,6001-8000元/月,算法工程师
北京捷通华声科技股份有限公司,北京,20000-40000元/月,算法工程师
华为技术有限公司 ,北京,面议,通信研发工程师
北京固鸿科技有限公司 ,北京,10001-15000元/月,算法工程师
郑州蓝之海软件科技有限公司 ,郑州,4000-8000元/月,算法工程师
